,Name,Latitude,Longitude,datum,afstand,te laat,uur,minuut,seconde
5840672,Warsaw Chopin Airport,52.16569901,20.96710014,Lente,1033425.7052804903,orange,1.1482507836449893,8.895047018699355,53.70282112196134
5840673,Warsaw Chopin Airport,52.16569901,20.96710014,Winter,1033425.7052804902,green,1.1482507836449891,8.895047018699348,53.70282112196088
5840674,Warsaw Chopin Airport,52.16569901,20.96710014,Zomer,1033425.7052804902,orange,1.1482507836449891,8.895047018699348,53.70282112196088
5864587,Copernicus Wrocław Airport,51.10269928,16.88579941,Herfst,728414.1583215579,green,0.809349064801731,48.560943888103864,33.65663328623166
5864588,Copernicus Wrocław Airport,51.10269928,16.88579941,Lente,728414.1583215579,orange,0.809349064801731,48.560943888103864,33.65663328623166
5864589,Copernicus Wrocław Airport,51.10269928,16.88579941,Winter,728414.1583215579,green,0.809349064801731,48.560943888103864,33.65663328623166
5864590,Copernicus Wrocław Airport,51.10269928,16.88579941,Zomer,728414.1583215579,orange,0.809349064801731,48.560943888103864,33.65663328623166
5888503,Gothenburg-Landvetter Airport,57.66279984,12.27980042,Herfst,1162220.8371422663,green,1.2913564857136293,17.481389142817754,28.883348569065333
5888504,Gothenburg-Landvetter Airport,57.66279984,12.27980042,Lente,1162220.8371422663,green,1.2913564857136293,17.481389142817754,28.883348569065333
5888505,Gothenburg-Landvetter Airport,57.66279984,12.27980042,Winter,1162220.8371422663,green,1.2913564857136293,17.481389142817754,28.883348569065333
5888506,Gothenburg-Landvetter Airport,57.66279984,12.27980042,Zomer,1162220.8371422663,orange,1.2913564857136293,17.481389142817754,28.883348569065333
5911103,Stockholm-Arlanda Airport,59.65190125,17.91860008,Herfst,1488365.5865925052,green,1.653739540658339,39.22437243950035,13.462346370020882
5911104,Stockholm-Arlanda Airport,59.65190125,17.91860008,Lente,1488365.5865925052,green,1.653739540658339,39.22437243950035,13.462346370020882
5911105,Stockholm-Arlanda Airport,59.65190125,17.91860008,Winter,1488365.586592505,green,1.6537395406583388,39.224372439500335,13.46234637001995
5911106,Stockholm-Arlanda Airport,59.65190125,17.91860008,Zomer,1488365.5865925052,orange,1.653739540658339,39.22437243950035,13.462346370020882
