,datum,Continent,afstand,te laat,Latitude,Longitude,uur,minuut,seconde
0,Herfst,Africa,3760467.275690115,green,12.17682,21.015663,4.178296972989017,10.697818379341005,41.86910276046023
1,Herfst,Asia,4901301.386527876,green,33.607319,86.370873,5.445890429475418,26.75342576852509,45.20554611150548
2,Herfst,Europe,935900.6572611091,green,49.290755,15.042349,1.0398896191790101,2.3933771507406063,23.602629044436384
3,Herfst,North America,7805976.151094399,green,47.040197,-105.19169,8.673306834549333,40.39841007295996,23.904604377597572
4,Herfst,South America,9605345.918453826,green,-17.37578,-57.691664,10.672606576059806,40.356394563588374,21.38367381530255
5,Lente,Africa,3843213.295860883,green,12.17682,21.015663,4.270236995400981,16.214219724058857,12.853183443531394
6,Lente,Asia,4927938.470897744,green,33.607319,86.370873,5.475487189886382,28.52923139318296,31.75388359097764
7,Lente,Europe,902030.7102911228,orange,49.290755,15.042349,1.0022563447679143,0.13538068607485232,8.12284116449114
8,Lente,North America,7813481.151425967,orange,47.040197,-105.19169,8.68164572380663,40.8987434283978,53.924605703867975
9,Lente,Oceania,16565313.794074368,red,-26.17908,136.757635,18.405904215638188,24.354252938291182,21.25517629747093
10,Lente,South America,9657025.541970596,orange,-17.37578,-57.691664,10.730028379967328,43.80170279803971,48.10216788238287
11,Winter,Africa,4113228.1445093164,green,12.17682,21.015663,4.570253493899241,34.21520963395443,12.912578037265687
12,Winter,Asia,4756564.066759176,green,33.607319,86.370873,5.285071185287973,17.104271117278376,6.256267036702484
13,Winter,Europe,867642.2888217961,green,49.290755,15.042349,0.9640469875797734,57.842819254786406,50.56915528718429
14,Winter,North America,7816249.408489632,green,47.040197,-105.19169,8.68472156498848,41.08329389930883,4.997633958529681
15,Winter,South America,9636145.73744926,orange,-17.37578,-57.691664,10.706828597165845,42.4097158299507,24.582949797041714
16,Zomer,Africa,3632346.591536292,green,12.17682,21.015663,4.035940657262547,2.156439435752792,9.3863661451675
17,Zomer,Asia,4933647.223033721,orange,33.607319,86.370873,5.481830247815245,28.909814868914708,54.58889213488251
18,Zomer,Europe,982185.9818988235,orange,49.290755,15.042349,1.0913177576653594,5.479065459921568,28.743927595294082
19,Zomer,North America,7799698.084322165,orange,47.040197,-105.19169,8.666331204802406,39.97987228814432,58.79233728865906
20,Zomer,South America,9629210.489789393,orange,-17.37578,-57.691664,10.699122766432659,41.94736598595952,56.841959157571196
